Date,Open*,High,Low,Close**,Volume,Market Cap
30-Aug-20,$428.51 ,$438.56 ,$419.77 ,$435.08 ,"$12,774,741,797 ","$48,909,170,052 "
29-Aug-20,$399.62 ,$428.66 ,$399.61 ,$428.40 ,"$11,211,948,040 ","$48,151,884,394 "
28-Aug-20,$395.69 ,$405.62 ,$393.04 ,$399.92 ,"$8,777,703,481 ","$44,945,899,480 "
27-Aug-20,$382.63 ,$397.76 ,$381.27 ,$395.87 ,"$9,120,674,421 ","$44,485,705,032 "
26-Aug-20,$386.61 ,$395.35 ,$374.87 ,$382.63 ,"$10,457,777,652 ","$42,992,439,543 "
25-Aug-20,$383.98 ,$391.87 ,$378.71 ,$386.47 ,"$9,967,343,483 ","$43,417,926,668 "
24-Aug-20,$408.07 ,$408.53 ,$374.36 ,$384.00 ,"$12,428,442,042 ","$43,135,697,974 "
23-Aug-20,$391.68 ,$409.39 ,$389.31 ,$408.14 ,"$10,328,860,398 ","$45,842,265,023 "
22-Aug-20,$395.56 ,$396.49 ,$385.04 ,$391.38 ,"$8,137,303,970 ","$43,954,518,396 "
21-Aug-20,$389.03 ,$396.47 ,$382.81 ,$395.84 ,"$10,131,847,985 ","$44,448,918,222 "
20-Aug-20,$416.15 ,$418.64 ,$387.44 ,$389.13 ,"$11,781,796,374 ","$43,690,315,907 "
19-Aug-20,$406.76 ,$418.73 ,$404.03 ,$416.44 ,"$10,043,032,427 ","$46,751,356,941 "
18-Aug-20,$423.74 ,$427.02 ,$396.68 ,$406.46 ,"$13,137,391,167 ","$45,625,864,918 "
17-Aug-20,$429.67 ,$432.58 ,$419.67 ,$423.67 ,"$11,978,984,079 ","$47,551,407,033 "
16-Aug-20,$433.97 ,$442.73 ,$422.65 ,$429.53 ,"$13,227,089,410 ","$48,203,426,751 "
15-Aug-20,$433.35 ,$436.27 ,$415.09 ,$433.79 ,"$12,168,816,874 ","$48,675,162,267 "
14-Aug-20,$437.56 ,$441.75 ,$429.87 ,$433.35 ,"$12,416,067,894 ","$48,620,820,125 "
13-Aug-20,$428.68 ,$444.58 ,$423.35 ,$437.40 ,"$15,064,589,987 ","$49,068,474,083 "
12-Aug-20,$390.84 ,$432.90 ,$379.71 ,$428.74 ,"$18,480,303,526 ","$48,091,569,052 "
11-Aug-20,$380.06 ,$391.31 ,$367.92 ,$391.02 ,"$12,408,772,745 ","$43,855,501,072 "
10-Aug-20,$395.89 ,$398.48 ,$370.86 ,$380.38 ,"$12,792,218,737 ","$42,656,945,169 "
9-Aug-20,$391.04 ,$399.38 ,$391.04 ,$395.89 ,"$11,685,827,893 ","$44,390,142,137 "
8-Aug-20,$395.31 ,$399.74 ,$385.83 ,$391.12 ,"$9,451,065,592 ","$43,850,292,041 "
7-Aug-20,$379.55 ,$393.99 ,$377.35 ,$393.99 ,"$9,342,060,531 ","$44,166,324,646 "
6-Aug-20,$395.23 ,$398.25 ,$367.94 ,$379.51 ,"$12,751,687,084 ","$42,538,578,850 "
5-Aug-20,$401.58 ,$403.49 ,$392.60 ,$394.96 ,"$11,304,626,458 ","$44,264,836,294 "
4-Aug-20,$389.71 ,$406.30 ,$386.22 ,$401.59 ,"$12,875,466,638 ","$45,002,213,069 "
3-Aug-20,$386.16 ,$400.70 ,$382.99 ,$389.88 ,"$14,086,704,221 ","$43,684,129,572 "
2-Aug-20,$371.13 ,$396.51 ,$369.34 ,$386.30 ,"$12,834,648,062 ","$43,277,729,882 "
1-Aug-20,$385.55 ,$411.23 ,$357.14 ,$370.67 ,"$18,909,744,275 ","$41,522,323,563 "
31-Jul-20,$345.80 ,$388.85 ,$343.59 ,$385.20 ,"$14,045,259,477 ","$43,144,477,508 "
30-Jul-20,$334.63 ,$348.61 ,$329.34 ,$345.55 ,"$12,030,600,492 ","$38,699,278,449 "
29-Jul-20,$318.14 ,$338.63 ,$315.75 ,$334.59 ,"$11,827,689,045 ","$37,466,380,887 "
28-Jul-20,$316.56 ,$324.38 ,$313.11 ,$318.19 ,"$10,878,845,706 ","$35,626,126,751 "
27-Jul-20,$321.83 ,$325.91 ,$307.72 ,$316.66 ,"$12,357,108,065 ","$35,450,097,600 "
26-Jul-20,$309.66 ,$330.70 ,$309.66 ,$321.51 ,"$15,644,257,058 ","$35,989,428,749 "
25-Jul-20,$303.69 ,$316.39 ,$300.27 ,$309.64 ,"$12,003,973,026 ","$34,656,472,193 "
24-Jul-20,$279.03 ,$306.74 ,$279.03 ,$304.06 ,"$10,785,021,813 ","$34,027,002,730 "
23-Jul-20,$274.72 ,$286.19 ,$269.24 ,$279.22 ,"$9,466,060,358 ","$31,243,266,716 "
22-Jul-20,$262.39 ,$277.58 ,$261.05 ,$274.69 ,"$10,281,309,262 ","$30,733,019,165 "
21-Jul-20,$245.04 ,$262.99 ,$242.48 ,$262.19 ,"$7,702,077,383 ","$29,331,058,164 "
20-Jul-20,$236.30 ,$246.19 ,$235.68 ,$245.02 ,"$6,806,696,015 ","$27,406,496,758 "
19-Jul-20,$238.49 ,$239.58 ,$234.85 ,$236.15 ,"$5,600,686,192 ","$26,411,853,756 "
18-Jul-20,$235.46 ,$239.16 ,$233.28 ,$238.49 ,"$6,251,377,305 ","$26,669,691,075 "
17-Jul-20,$232.86 ,$236.54 ,$232.32 ,$235.48 ,"$5,397,402,117 ","$26,330,601,164 "
16-Jul-20,$233.69 ,$234.42 ,$232.11 ,$232.77 ,"$5,859,850,529 ","$26,024,301,468 "
15-Jul-20,$238.45 ,$239.01 ,$231.62 ,$233.64 ,"$5,832,057,567 ","$26,118,155,895 "
14-Jul-20,$240.14 ,$241.40 ,$237.10 ,$238.42 ,"$6,189,328,448 ","$26,649,577,378 "
13-Jul-20,$239.98 ,$242.00 ,$237.80 ,$240.21 ,"$7,357,458,555 ","$26,846,147,251 "
12-Jul-20,$242.18 ,$244.31 ,$238.23 ,$239.60 ,"$7,787,751,468 ","$26,775,071,858 "
11-Jul-20,$239.46 ,$243.31 ,$237.77 ,$242.13 ,"$6,596,394,718 ","$27,054,158,346 "
10-Jul-20,$241.04 ,$241.53 ,$238.33 ,$239.46 ,"$5,643,067,316 ","$26,752,161,985 "
9-Jul-20,$242.87 ,$242.88 ,$236.73 ,$240.98 ,"$7,281,370,522 ","$26,919,422,187 "
8-Jul-20,$246.75 ,$247.29 ,$239.90 ,$243.02 ,"$8,429,099,199 ","$27,143,016,879 "
7-Jul-20,$239.16 ,$248.31 ,$238.40 ,$246.67 ,"$9,892,586,411 ","$27,547,785,703 "
6-Jul-20,$240.97 ,$242.68 ,$234.22 ,$239.08 ,"$6,441,497,597 ","$26,696,376,073 "
5-Jul-20,$227.69 ,$242.13 ,$227.03 ,$241.51 ,"$8,782,917,553 ","$26,964,937,043 "
4-Jul-20,$228.98 ,$229.86 ,$224.54 ,$227.66 ,"$5,292,172,429 ","$25,415,950,649 "
3-Jul-20,$225.29 ,$230.05 ,$225.13 ,$229.07 ,"$5,228,310,135 ","$25,570,190,315 "
2-Jul-20,$229.32 ,$229.63 ,$224.91 ,$225.39 ,"$5,109,032,700 ","$25,155,571,600 "
1-Jul-20,$231.29 ,$232.40 ,$225.46 ,$229.39 ,"$6,212,210,566 ","$25,599,453,477 "
30-Jun-20,$226.13 ,$232.76 ,$224.84 ,$231.11 ,"$6,463,737,443 ","$25,788,404,350 "
29-Jun-20,$227.97 ,$229.48 ,$224.82 ,$226.31 ,"$6,094,093,001 ","$25,249,913,730 "
28-Jun-20,$225.36 ,$229.90 ,$222.25 ,$228.19 ,"$6,726,164,653 ","$25,456,513,994 "
27-Jun-20,$222.91 ,$228.60 ,$219.47 ,$225.35 ,"$6,205,925,718 ","$25,135,786,986 "
26-Jun-20,$229.63 ,$232.49 ,$220.56 ,$222.96 ,"$6,918,380,955 ","$24,866,429,445 "
25-Jun-20,$232.88 ,$233.90 ,$229.26 ,$229.67 ,"$7,187,490,226 ","$25,611,500,297 "
24-Jun-20,$235.70 ,$236.05 ,$230.30 ,$232.94 ,"$7,010,426,122 ","$25,973,707,946 "
23-Jun-20,$244.19 ,$248.51 ,$232.81 ,$235.77 ,"$8,815,030,025 ","$26,285,822,239 "
22-Jun-20,$242.54 ,$244.86 ,$239.76 ,$244.14 ,"$6,624,530,348 ","$27,215,606,543 "
21-Jun-20,$229.00 ,$243.78 ,$228.93 ,$242.53 ,"$9,079,586,552 ","$27,032,930,743 "
20-Jun-20,$229.22 ,$232.36 ,$228.49 ,$228.99 ,"$5,600,408,178 ","$25,520,273,837 "
19-Jun-20,$226.98 ,$231.45 ,$226.64 ,$229.27 ,"$6,252,830,566 ","$25,548,837,121 "
18-Jun-20,$231.95 ,$232.15 ,$226.80 ,$227.14 ,"$6,946,372,590 ","$25,307,718,819 "
17-Jun-20,$232.90 ,$234.57 ,$228.95 ,$232.10 ,"$6,713,800,872 ","$25,857,495,155 "
16-Jun-20,$234.49 ,$235.95 ,$229.34 ,$233.03 ,"$7,701,391,592 ","$25,957,610,764 "
15-Jun-20,$229.76 ,$236.39 ,$228.43 ,$234.42 ,"$7,965,648,016 ","$26,109,047,392 "
14-Jun-20,$234.06 ,$234.24 ,$221.24 ,$229.93 ,"$10,536,099,884 ","$25,606,145,743 "
13-Jun-20,$238.97 ,$239.10 ,$232.96 ,$234.11 ,"$7,439,385,176 ","$26,069,111,857 "
12-Jun-20,$237.54 ,$239.19 ,$235.89 ,$238.91 ,"$7,141,624,980 ","$26,599,679,550 "
11-Jun-20,$231.63 ,$239.35 ,$229.65 ,$237.49 ,"$8,868,955,009 ","$26,438,827,420 "
10-Jun-20,$247.55 ,$249.89 ,$229.94 ,$231.70 ,"$12,356,528,860 ","$25,791,024,831 "
9-Jun-20,$244.82 ,$248.65 ,$242.82 ,$247.44 ,"$8,792,990,206 ","$27,539,945,413 "
8-Jun-20,$246.18 ,$248.34 ,$242.34 ,$244.91 ,"$8,446,545,788 ","$27,254,678,255 "
7-Jun-20,$245.18 ,$246.64 ,$241.54 ,$246.31 ,"$8,076,783,299 ","$27,406,923,226 "
6-Jun-20,$241.91 ,$245.44 ,$236.33 ,$245.17 ,"$9,544,883,157 ","$27,276,459,502 "
5-Jun-20,$241.20 ,$245.98 ,$239.72 ,$241.93 ,"$8,114,873,845 ","$26,913,140,925 "
4-Jun-20,$244.35 ,$247.33 ,$240.68 ,$241.22 ,"$9,293,963,914 ","$26,830,954,614 "
3-Jun-20,$244.11 ,$245.93 ,$236.77 ,$244.43 ,"$10,170,414,304 ","$27,184,018,611 "
2-Jun-20,$237.40 ,$244.18 ,$235.46 ,$244.18 ,"$9,861,760,817 ","$27,153,238,868 "
1-Jun-20,$246.83 ,$252.22 ,$233.23 ,$237.22 ,"$13,782,107,567 ","$26,376,031,890 "
31-May-20,$230.86 ,$248.24 ,$230.49 ,$246.99 ,"$13,951,727,936 ","$27,459,257,209 "
30-May-20,$242.35 ,$244.05 ,$230.05 ,$230.98 ,"$12,234,904,813 ","$25,675,542,329 "
29-May-20,$220.72 ,$243.94 ,$218.74 ,$242.35 ,"$15,027,397,867 ","$26,936,114,604 "
28-May-20,$219.93 ,$224.22 ,$218.24 ,$220.68 ,"$12,265,816,557 ","$24,524,484,269 "
27-May-20,$208.89 ,$220.28 ,$206.24 ,$219.84 ,"$12,212,469,604 ","$24,428,738,047 "
26-May-20,$201.89 ,$208.86 ,$201.79 ,$208.86 ,"$10,631,034,756 ","$23,206,144,127 "
25-May-20,$205.26 ,$205.75 ,$200.26 ,$201.90 ,"$10,159,741,290 ","$22,429,962,991 "
24-May-20,$201.98 ,$206.36 ,$200.67 ,$205.32 ,"$10,415,044,124 ","$22,806,813,423 "
23-May-20,$208.72 ,$210.60 ,$202.37 ,$202.37 ,"$11,833,299,572 ","$22,476,471,750 "
22-May-20,$207.19 ,$210.39 ,$205.29 ,$208.69 ,"$10,665,476,768 ","$23,176,030,659 "
21-May-20,$199.84 ,$208.59 ,$198.04 ,$207.17 ,"$12,041,592,114 ","$23,003,786,385 "
20-May-20,$210.13 ,$211.63 ,$193.35 ,$199.88 ,"$13,308,321,229 ","$22,192,109,650 "
19-May-20,$213.45 ,$214.72 ,$207.98 ,$210.10 ,"$12,730,175,511 ","$23,323,160,696 "
18-May-20,$214.60 ,$214.60 ,$210.14 ,$213.45 ,"$14,346,192,779 ","$23,692,625,224 "
17-May-20,$207.18 ,$215.91 ,$207.11 ,$214.53 ,"$17,411,566,928 ","$23,808,928,396 "
16-May-20,$200.61 ,$209.16 ,$200.10 ,$207.16 ,"$15,470,397,303 ","$22,988,575,488 "
15-May-20,$195.61 ,$202.77 ,$194.50 ,$200.68 ,"$15,379,081,645 ","$22,266,558,227 "
14-May-20,$202.96 ,$203.57 ,$193.76 ,$195.62 ,"$16,602,342,092 ","$21,703,086,885 "
13-May-20,$198.89 ,$204.12 ,$196.87 ,$202.95 ,"$20,150,524,861 ","$22,513,148,759 "
12-May-20,$189.37 ,$200.20 ,$189.13 ,$199.19 ,"$17,054,662,289 ","$22,093,789,228 "
